Crops,States,Season,Area-2020-21(Lakh ha),Area-2021-22(Lakh ha),Area-2022-23(Lakh ha),Area-2023-24(Lakh ha),Area-2024-25(Lakh ha),Production-2020-21(Lakh Tonnes),Production-2021-22(Lakh Tonnes),Production-2022-23(Lakh Tonnes),Production-2023-24(Lakh Tonnes),Production-2024-25(Lakh Tonnes),Yield-2020-21(Kg/ha),Yield-2021-22(Kg/ha),Yield-2022-23(Kg/ha),Yield-2023-24(Kg/ha),Yield-2024-25(Kg/ha)
Barley,Others,Rabi,,,,,0.17,,,,,0.22,,,,,1275.0
Jowar,Andhra Pradesh,Kharif,0.03,0.03,0.06,0.06,0.03,0.04,0.02,0.06,0.09,0.01,1332.0,794.0,940.0,1416.0,437.0
Jowar,Andhra Pradesh,Rabi,1.17,0.74,0.64,0.97,0.78,4.07,2.57,2.78,3.2,2.89,3482.0,3476.0,4346.0,3306.0,3709.0
Jowar,Bihar,Kharif,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,1067.0,1067.0,1068.0,1075.0,1070.0
Jowar,Chhattisgarh,Kharif,0.02,0.01,0.01,,,0.03,0.01,0.01,,,1326.0,834.0,1471.0,962.0,1285.0
Jowar,Delhi,Kharif,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,,953.0,951.0,1000.0,900.0,
Jowar,Gujarat,Kharif,0.26,0.28,0.18,0.2,0.19,0.39,0.4,0.25,0.25,0.26,1488.0,1433.0,1374.0,1257.0,1365.0
Jowar,Gujarat,Rabi,0.15,0.15,0.13,0.23,0.14,0.18,0.17,0.21,0.41,0.2,1236.0,1179.0,1577.0,1800.0,1440.0
Jowar,Haryana,Kharif,0.31,0.23,0.27,0.19,0.19,0.16,0.12,0.14,0.1,0.1,525.0,527.0,526.0,527.0,527.0
Jowar,Himachal Pradesh,Kharif,,,,,,,,,,,435.0,560.0,,,359.0
Jowar,Jharkhand,Kharif,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,659.0,817.0,967.0,1018.0,1576.0
Jowar,Karnataka,Kharif,0.88,0.75,0.62,0.63,1.08,1.77,1.21,0.99,1.1,2.14,2006.0,1617.0,1604.0,1744.0,1982.0
Jowar,Karnataka,Rabi,6.62,5.4,4.93,7.45,5.41,7.27,6.1,5.82,8.33,6.02,1098.0,1130.0,1181.0,1118.0,1112.0
Jowar,Kerala,Kharif,,,,0.01,,,,,,,833.0,1387.0,,372.0,
Jowar,Kerala,Rabi,,,,,,,,,,,894.0,1460.0,,800.0,
Jowar,Kerala,Summer,,,,,,,,,,,,,1000.0,1156.0,
Jowar,Madhya Pradesh,Kharif,1.12,1.23,0.97,0.87,0.9,2.17,2.36,1.69,1.63,1.81,1938.0,1919.0,1747.0,1872.0,2015.0
Jowar,Maharashtra,Kharif,3.79,2.09,1.43,1.12,1.09,3.81,1.62,1.23,0.99,1.28,1007.0,773.0,862.0,889.0,1175.0
Jowar,Maharashtra,Rabi,17.0,14.4,13.29,15.91,15.46,13.65,13.96,11.84,16.45,17.13,803.0,970.0,891.0,1034.0,1108.0
Jowar,Maharashtra,Summer,,,0.06,0.38,0.35,,,0.05,0.31,0.29,,,836.0,833.0,843.0
Jowar,Nagaland,Kharif,,,,0.01,,,,,0.01,,964.0,929.0,965.0,966.0,
Jowar,Odisha,Kharif,0.06,0.06,0.07,0.07,0.01,0.03,0.04,0.06,0.06,0.01,631.0,629.0,786.0,786.0,649.0
Jowar,Puducherry,Kharif,,,,,,,,,,,,2500.0,2500.0,3000.0,
Jowar,Rajasthan,Kharif,5.6,6.2,6.37,5.09,6.41,5.9,5.36,5.67,4.51,5.43,1054.0,864.0,890.0,886.0,846.0
Jowar,Rajasthan,Summer,,,,,,,,,,,,,,1090.0,
Jowar,Tamil Nadu,Kharif,2.12,1.85,1.66,1.59,1.38,2.4,1.98,1.38,1.58,1.8,1134.0,1070.0,834.0,996.0,1309.0
Jowar,Tamil Nadu,Rabi,1.94,2.12,1.85,1.83,1.89,1.87,1.64,1.47,1.2,1.89,966.0,773.0,795.0,658.0,998.0
Jowar,Tamil Nadu,Summer,,,0.1,0.13,0.13,,,0.08,0.09,0.1,,,795.0,658.0,795.0
Jowar,Telangana,Kharif,0.43,0.15,0.15,0.12,0.18,0.35,0.1,0.1,0.1,0.15,811.0,662.0,680.0,809.0,819.0
Jowar,Telangana,Rabi,0.48,0.54,0.53,0.97,1.46,1.21,1.07,1.09,2.29,2.73,2517.0,1984.0,2063.0,2361.0,1871.0
Jowar,Tripura,Kharif,,,,,,,,,,,852.0,,,,
Jowar,Uttar Pradesh,Kharif,1.74,1.71,1.98,2.89,2.68,2.75,2.7,3.15,4.62,4.46,1578.0,1578.0,1593.0,1600.0,1666.0
Jowar,West Bengal,Kharif,,,,,,,,,,,538.0,537.0,564.0,600.0,625.0
Jowar,Others,Kharif,,,,,0.04,,,,,0.03,,,,,921.0
Bajra,Andhra Pradesh,Kharif,0.31,0.31,0.21,0.23,0.27,0.71,0.55,0.43,0.48,0.63,2281.0,1787.0,2027.0,2096.0,2320.0
Bajra,Andhra Pradesh,Summer,,,0.04,0.03,0.03,,,0.08,0.06,0.07,,,2027.0,2108.0,2320.0
Bajra,Bihar,Kharif,0.04,0.03,0.02,0.03,0.03,0.05,0.03,0.03,0.03,0.04,1134.0,1140.0,1140.0,1138.0,1139.0
Bajra,Chhattisgarh,Kharif,,,,,,,,,,,515.0,429.0,458.0,419.0,531.0
Bajra,Dadra And Nagar Haveli,Kharif,,,,0.01,,,,0.01,0.01,,,,1519.0,1536.0,
Bajra,Daman And Diu,Kharif,,,,,,0.01,0.01,,,,1509.0,1530.0,,,
Bajra,Delhi,Kharif,0.01,0.01,0.01,0.02,,0.05,0.04,0.05,0.05,,4030.0,2747.0,3250.0,3200.0,
Bajra,Gujarat,Kharif,4.6,4.46,1.84,1.97,1.68,10.09,10.9,3.27,3.5,3.1,2192.0,2442.0,1775.0,1776.0,1844.0
Bajra,Gujarat,Summer,,,3.18,3.23,3.18,,,9.67,9.55,9.55,,,3042.0,2960.0,3000.0
Bajra,Haryana,Kharif,5.69,4.83,5.26,5.28,5.74,13.5,11.2,12.0,11.61,12.52,2372.0,2318.0,2280.0,2200.0,2182.0
Bajra,Himachal Pradesh,Kharif,0.01,0.01,0.01,,,,,,,,557.0,512.0,480.0,480.0,501.0
Bajra,Jammu And Kashmir,Kharif,0.13,0.09,0.18,0.19,,0.06,0.05,0.1,0.1,,492.0,595.0,587.0,514.0,
Bajra,Jharkhand,Kharif,,,,,0.01,,,,,0.01,643.0,618.0,580.0,775.0,718.0
Bajra,Karnataka,Kharif,2.22,1.48,1.16,1.28,1.19,2.76,1.71,1.62,1.63,1.54,1241.0,1158.0,1400.0,1270.0,1290.0
Bajra,Karnataka,Summer,,,0.12,,,,,0.15,,,,,1250.0,,
Bajra,Kerala,Kharif,,,,,,,,,,,,,1000.0,2008.0,1757.0
Bajra,Kerala,Summer,,,,,,,,,,,,,1571.0,2179.0,1781.0
Bajra,Madhya Pradesh,Kharif,3.27,3.43,3.63,3.88,2.87,7.38,8.69,9.43,10.03,8.61,2256.0,2533.0,2599.0,2586.0,3001.0
Bajra,Maharashtra,Kharif,6.88,6.67,4.08,3.67,4.04,6.57,6.19,4.45,2.13,5.29,955.0,928.0,1091.0,579.0,1311.0
Bajra,Maharashtra,Summer,,,0.26,0.37,0.4,,,0.23,0.33,0.36,,,887.0,902.0,905.0
Bajra,Nagaland,Kharif,0.01,0.01,0.02,0.03,,0.01,,0.02,0.03,,1014.0,752.0,1076.0,1034.0,
Bajra,Odisha,Kharif,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,622.0,615.0,633.0,633.0,652.0
Bajra,Puducherry,Kharif,,,,,,,,,,,2600.0,2643.0,2593.0,3000.0,
Bajra,Punjab,Kharif,,0.01,0.01,0.01,0.01,,0.01,,0.01,0.01,640.0,635.0,690.0,785.0,976.0
Bajra,Rajasthan,Kharif,43.48,37.36,45.44,42.57,43.53,45.61,37.4,50.62,43.84,48.49,1049.0,1001.0,1114.0,1030.0,1114.0
Bajra,Rajasthan,Summer,,,0.27,0.31,,,,0.43,0.45,,,,1590.0,1471.0,
Bajra,Tamil Nadu,Kharif,0.67,0.6,0.32,0.33,0.39,1.59,1.46,0.87,1.05,1.04,2357.0,2437.0,2719.0,3152.0,2660.0
Bajra,Tamil Nadu,Summer,,,0.13,0.14,0.13,,,0.26,0.12,0.17,,,2010.0,832.0,1389.0
Bajra,Telangana,Kharif,0.1,0.04,0.04,0.05,0.07,0.09,0.04,0.12,0.17,0.17,930.0,1011.0,2952.0,3371.0,2545.0
Bajra,Uttar Pradesh,Kharif,9.07,9.05,9.47,10.1,8.28,20.14,19.51,20.46,21.95,16.84,2221.0,2156.0,2160.0,2173.0,2033.0
Bajra,West Bengal,Kharif,,,,,,,,,,,425.0,428.0,425.0,410.0,407.0
Bajra,Others,Kharif,,,,,0.24,,,,,0.19,,,,,783.0
Ragi,Andhra Pradesh,Kharif,0.33,0.3,0.27,0.27,0.23,0.4,0.31,0.32,0.34,0.31,1197.0,1038.0,1185.0,1261.0,1348.0
Ragi,Arunachal Pradesh,Kharif,,,0.27,0.28,,,,0.28,0.29,,,,1036.0,1037.0,
Ragi,Assam,Kharif,,,,0.01,,,,,0.01,,,,,1029.0,
Ragi,Bihar,Kharif,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,934.0,978.0,1003.0,871.0,895.0
Ragi,Chhattisgarh,Kharif,0.05,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,302.0,300.0,293.0,274.0,284.0
Ragi,Dadra And Nagar Haveli,Kharif,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,1652.0,1667.0,1656.0,1675.0,
Ragi,Gujarat,Kharif,0.1,0.1,0.1,0.1,0.1,0.13,0.09,0.08,0.08,0.08,1205.0,900.0,812.0,820.0,766.0
Ragi,Himachal Pradesh,Kharif,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,842.0,937.0,850.0,770.0,880.0
Ragi,Jammu And Kashmir,Kharif,,,,,,,,,,,,,548.0,548.0,
Ragi,Jharkhand,Kharif,0.19,0.19,0.16,0.32,0.4,0.16,0.17,0.13,0.31,0.44,874.0,878.0,775.0,971.0,1108.0
Ragi,Karnataka,Kharif,7.85,8.46,8.12,8.27,8.73,13.7,11.27,11.48,10.35,12.34,1745.0,1332.0,1414.0,1251.0,1414.0
Ragi,Kerala,Kharif,,,,,,,,,,,1435.0,1661.0,1696.0,1331.0,1615.0
Ragi,Maharashtra,Kharif,0.82,0.81,0.69,0.69,0.69,0.94,1.03,0.91,1.13,0.96,1151.0,1263.0,1327.0,1635.0,1401.0
Ragi,Nagaland,Kharif,,,,,,,,,,,971.0,644.0,966.0,860.0,
Ragi,Odisha,Kharif,0.41,0.55,0.43,0.66,0.41,0.33,0.44,0.37,0.56,0.35,796.0,794.0,873.0,853.0,856.0
Ragi,Puducherry,Kharif,,,,,,,,,,,2422.0,2413.0,2403.0,2913.0,
Ragi,Sikkim,Kharif,,0.02,,0.02,,,0.02,,0.02,,,1041.0,1043.0,1048.0,
Ragi,Tamil Nadu,Kharif,0.83,0.74,0.7,0.71,0.64,2.89,2.27,2.07,2.44,2.41,3481.0,3056.0,2967.0,3432.0,3758.0
Ragi,Telangana,Kharif,0.01,0.01,,,,0.01,0.02,,,,1343.0,1647.0,,,1211.0
Ragi,Uttarakhand,Kharif,0.89,0.86,0.76,0.69,0.65,1.3,1.27,1.14,1.06,1.01,1459.0,1478.0,1503.0,1540.0,1548.0
Ragi,West Bengal,Kharif,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1073.0,1176.0,1222.0,962.0,1012.0
Ragi,Others,Kharif,,,,,0.31,,,,,0.33,,,,,1051.0
Small Millets,Andhra Pradesh,Kharif,0.22,0.14,0.11,0.13,0.31,0.19,0.13,0.09,0.11,0.27,864.0,929.0,860.0,902.0,860.0
Small Millets,Arunachal Pradesh,Kharif,0.27,0.27,,,,0.28,0.28,,,,1030.0,1033.0,,,
Small Millets,Assam,Kharif,0.05,0.05,0.06,0.08,0.07,0.03,0.03,0.05,0.06,0.05,656.0,664.0,799.0,740.0,735.0
Small Millets,Bihar,Kharif,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,753.0,755.0,754.0,755.0,755.0
Small Millets,Chhattisgarh,Kharif,0.85,0.52,0.44,0.41,0.37,0.22,0.26,0.22,0.25,0.18,258.0,501.0,492.0,599.0,482.0
Small Millets,Gujarat,Kharif,0.08,0.12,0.08,0.12,0.14,0.13,0.23,0.16,0.29,0.3,1541.0,1988.0,2055.0,2409.0,2124.0
Small Millets,Himachal Pradesh,Kharif,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,972.0,680.0,691.0,691.0,715.0
Small Millets,Jammu And Kashmir,Kharif,0.08,0.02,,,,0.02,0.01,,,,264.0,404.0,580.0,411.0,
Small Millets,Karnataka,Kharif,0.26,0.29,0.32,0.29,0.51,0.2,0.24,0.25,0.22,0.75,778.0,823.0,792.0,746.0,1471.0
Small Millets,Kerala,Kharif,,,,,,,,,,,745.0,1206.0,1250.0,905.0,1200.0
Small Millets,Madhya Pradesh,Kharif,0.78,0.89,1.45,1.4,1.06,0.69,0.77,1.41,1.36,1.03,890.0,860.0,970.0,971.0,971.0
Small Millets,Maharashtra,Kharif,0.37,0.6,0.54,0.58,0.48,0.17,0.26,0.27,0.3,0.26,452.0,432.0,504.0,507.0,537.0
Small Millets,Meghalaya,Kharif,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,,941.0,960.0,921.0,921.0,
Small Millets,Nagaland,Kharif,0.09,0.07,0.1,0.14,,0.1,0.07,0.11,0.15,,1130.0,980.0,1138.0,1130.0,
Small Millets,Odisha,Kharif,0.35,0.38,0.41,0.41,0.29,0.18,0.2,0.32,0.32,0.22,511.0,511.0,780.0,780.0,776.0
Small Millets,Puducherry,Kharif,,,,,,,,,,,2375.0,1200.0,,1200.0,
Small Millets,Rajasthan,Kharif,0.07,0.07,0.04,0.04,0.03,0.04,0.04,0.01,0.05,0.04,660.0,633.0,338.0,1094.0,1218.0
Small Millets,Sikkim,Kharif,0.02,,,,,0.02,,,,,1038.0,,,,
Small Millets,Tamil Nadu,Kharif,0.24,0.23,0.15,0.22,0.19,0.31,0.3,0.18,0.28,0.23,1247.0,1298.0,1178.0,1270.0,1252.0
Small Millets,Telangana,Kharif,,,0.01,,0.01,,,0.01,,,,,1048.0,,877.0
Small Millets,Tripura,Kharif,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,,801.0,812.0,984.0,984.0,
Small Millets,Uttar Pradesh,Kharif,0.12,0.07,0.1,0.49,0.33,0.09,0.05,0.08,0.42,0.28,765.0,662.0,764.0,865.0,850.0
Small Millets,Uttarakhand,Kharif,0.49,0.47,0.39,0.4,0.41,0.71,0.73,0.62,0.62,0.54,1449.0,1559.0,1578.0,1523.0,1326.0
Small Millets,West Bengal,Kharif,0.01,0.01,0.01,0.01,0.01,,0.01,,,,502.0,1045.0,482.0,515.0,510.0
Small Millets,Others,Kharif,,,,,0.18,,,,,0.19,,,,,1078.0
Shree Anna /Nutri Cereals,Andhra Pradesh,Kharif,0.89,0.78,0.65,0.69,0.84,1.33,1.02,0.9,1.03,1.22,1497.0,1307.0,1379.0,1490.0,1448.0
Shree Anna /Nutri Cereals,Andhra Pradesh,Rabi,1.17,0.74,0.64,0.97,0.78,4.07,2.57,2.78,3.2,2.89,3482.0,3476.0,4346.0,3306.0,3709.0
Shree Anna /Nutri Cereals,Andhra Pradesh,Summer,,,0.04,0.03,0.03,,,0.08,0.06,0.07,,,2027.0,2108.0,2320.0
Shree Anna /Nutri Cereals,Arunachal Pradesh,Kharif,0.27,0.27,0.27,0.28,,0.28,0.28,0.28,0.29,,1030.0,1033.0,1036.0,1037.0,
Shree Anna /Nutri Cereals,Assam,Kharif,0.05,0.05,0.06,0.09,0.07,0.03,0.03,0.05,0.07,0.05,656.0,664.0,799.0,775.0,735.0
Shree Anna /Nutri Cereals,Bihar,Kharif,0.1,0.08,0.07,0.07,0.09,0.1,0.09,0.07,0.07,0.09,993.0,1004.0,1003.0,962.0,974.0
Shree Anna /Nutri Cereals,Chhattisgarh,Kharif,0.92,0.57,0.48,0.45,0.41,0.26,0.28,0.24,0.26,0.19,285.0,495.0,495.0,581.0,473.0
Shree Anna /Nutri Cereals,Dadra And Nagar Haveli,Kharif,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,,1652.0,1667.0,1605.0,1624.0,
Shree Anna /Nutri Cereals,Daman And Diu,Kharif,,,,,,0.01,0.01,,,,1509.0,1530.0,,,
Shree Anna /Nutri Cereals,Delhi,Kharif,0.04,0.04,0.04,0.04,,0.08,0.06,0.08,0.07,,1907.0,1527.0,1726.0,1709.0,
Shree Anna /Nutri Cereals,Gujarat,Kharif,5.06,4.96,2.2,2.39,2.11,10.74,11.62,3.76,4.12,3.74,2124.0,2343.0,1707.0,1725.0,1769.0
Shree Anna /Nutri Cereals,Gujarat,Rabi,0.15,0.15,0.13,0.23,0.14,0.18,0.17,0.21,0.41,0.2,1236.0,1179.0,1577.0,1800.0,1440.0
Shree Anna /Nutri Cereals,Gujarat,Summer,,,3.18,3.23,3.18,,,9.67,9.55,9.55,,,3042.0,2960.0,3000.0
Shree Anna /Nutri Cereals,Haryana,Kharif,6.0,5.06,5.53,5.47,5.92,13.67,11.32,12.14,11.71,12.62,2276.0,2235.0,2195.0,2141.0,2130.0
Shree Anna /Nutri Cereals,Himachal Pradesh,Kharif,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,886.0,737.0,712.0,691.0,739.0
Shree Anna /Nutri Cereals,Jammu And Kashmir,Kharif,0.21,0.11,0.18,0.19,,0.09,0.06,0.11,0.1,,405.0,558.0,586.0,513.0,
Shree Anna /Nutri Cereals,Jharkhand,Kharif,0.21,0.21,0.17,0.33,0.43,0.18,0.18,0.14,0.32,0.48,853.0,872.0,781.0,970.0,1123.0
Shree Anna /Nutri Cereals,Karnataka,Kharif,11.21,10.98,10.22,10.47,11.51,18.42,14.43,14.35,13.29,16.77,1643.0,1315.0,1404.0,1269.0,1457.0
Shree Anna /Nutri Cereals,Karnataka,Rabi,6.62,5.4,4.93,7.45,5.41,7.27,6.1,5.82,8.33,6.02,1098.0,1130.0,1181.0,1118.0,1112.0
Shree Anna /Nutri Cereals,Karnataka,Summer,,,0.12,,,,,0.15,,,,,1250.0,,
Shree Anna /Nutri Cereals,Kerala,Kharif,,,,0.01,,,,,0.01,,1249.0,1558.0,1593.0,693.0,1500.0
Shree Anna /Nutri Cereals,Kerala,Rabi,,,,,,,,,,,894.0,1460.0,,800.0,
Shree Anna /Nutri Cereals,Kerala,Summer,,,,,,,,,,,,,1500.0,1340.0,1781.0
Shree Anna /Nutri Cereals,Madhya Pradesh,Kharif,5.17,5.55,6.05,6.15,4.83,10.24,11.81,12.54,13.02,11.46,1981.0,2129.0,2072.0,2117.0,2372.0
Shree Anna /Nutri Cereals,Maharashtra,Kharif,11.85,10.17,6.73,6.06,6.29,11.49,9.09,6.86,4.54,7.79,969.0,894.0,1019.0,749.0,1238.0
Shree Anna /Nutri Cereals,Maharashtra,Rabi,17.0,14.4,13.29,15.91,15.46,13.65,13.96,11.84,16.45,17.13,803.0,970.0,891.0,1034.0,1108.0
Shree Anna /Nutri Cereals,Maharashtra,Summer,,,0.32,0.75,0.75,,,0.28,0.65,0.66,,,877.0,867.0,876.0
Shree Anna /Nutri Cereals,Meghalaya,Kharif,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,,941.0,960.0,921.0,921.0,
Shree Anna /Nutri Cereals,Nagaland,Kharif,0.1,0.09,0.13,0.18,,0.11,0.08,0.14,0.2,,1112.0,948.0,1118.0,1099.0,
Shree Anna /Nutri Cereals,Odisha,Kharif,0.83,1.01,0.93,1.16,0.72,0.55,0.68,0.76,0.95,0.59,662.0,674.0,820.0,819.0,818.0
Shree Anna /Nutri Cereals,Puducherry,Kharif,,,,,,,,,,,2412.0,2221.0,2457.0,2972.0,
Shree Anna /Nutri Cereals,Punjab,Kharif,,0.01,0.01,0.01,0.01,,0.01,,0.01,0.01,640.0,635.0,690.0,785.0,976.0
Shree Anna /Nutri Cereals,Rajasthan,Kharif,49.15,43.63,51.85,47.7,49.97,51.56,42.8,56.3,48.4,53.96,1049.0,981.0,1086.0,1015.0,1080.0
Shree Anna /Nutri Cereals,Rajasthan,Summer,,,0.27,0.31,,,,0.43,0.46,,,,1590.0,1470.0,
Shree Anna /Nutri Cereals,Sikkim,Kharif,0.02,0.02,,0.02,,0.02,0.02,,0.02,,1038.0,1041.0,1043.0,1048.0,
Shree Anna /Nutri Cereals,Tamil Nadu,Kharif,3.87,3.42,2.83,2.85,2.6,7.18,6.02,4.5,5.35,5.49,1858.0,1756.0,1591.0,1877.0,2114.0
Shree Anna /Nutri Cereals,Tamil Nadu,Rabi,1.94,2.12,1.85,1.83,1.89,1.87,1.64,1.47,1.2,1.89,966.0,773.0,795.0,658.0,998.0
Shree Anna /Nutri Cereals,Tamil Nadu,Summer,,,0.23,0.28,0.26,,,0.34,0.21,0.28,,,1497.0,749.0,1084.0
Shree Anna /Nutri Cereals,Telangana,Kharif,0.54,0.2,0.2,0.17,0.26,0.46,0.16,0.23,0.27,0.33,843.0,781.0,1153.0,1563.0,1279.0
Shree Anna /Nutri Cereals,Telangana,Rabi,0.48,0.54,0.53,0.97,1.46,1.21,1.07,1.09,2.29,2.73,2517.0,1984.0,2063.0,2361.0,1871.0
Shree Anna /Nutri Cereals,Tripura,Kharif,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,,806.0,812.0,984.0,984.0,
Shree Anna /Nutri Cereals,Uttar Pradesh,Kharif,10.93,10.83,11.55,13.48,11.29,22.98,22.26,23.69,27.0,21.58,2103.0,2055.0,2051.0,2003.0,1911.0
Shree Anna /Nutri Cereals,Uttarakhand,Kharif,1.38,1.33,1.15,1.09,1.06,2.01,2.0,1.76,1.68,1.55,1455.0,1507.0,1528.0,1534.0,1462.0
Shree Anna /Nutri Cereals,West Bengal,Kharif,0.07,0.07,0.06,0.07,0.06,0.07,0.08,0.06,0.07,0.06,991.0,1126.0,1114.0,917.0,959.0
Shree Anna /Nutri Cereals,Others,Kharif,,,,,0.77,,,,,0.74,,,,,966.0
Nutri/Coarse Cereals,Andaman And Nicobar Islands,Kharif,,,,,,,,,,,2680.0,2680.0,2260.0,2410.0,
Nutri/Coarse Cereals,Andhra Pradesh,Kharif,2.03,2.08,2.03,2.08,2.28,5.67,5.43,6.48,6.58,7.31,2794.0,2609.0,3192.0,3172.0,3208.0
Nutri/Coarse Cereals,Andhra Pradesh,Rabi,3.04,2.86,3.12,2.5,2.63,17.54,17.16,24.75,15.83,16.56,5771.0,5999.0,7933.0,6326.0,6295.0
Nutri/Coarse Cereals,Andhra Pradesh,Summer,,,0.04,0.03,0.03,,,0.08,0.06,0.07,,,2027.0,2108.0,2320.0
Nutri/Coarse Cereals,Arunachal Pradesh,Kharif,0.68,0.7,0.71,0.72,,0.91,0.95,0.96,0.97,,1336.0,1344.0,1348.0,1349.0,
Nutri/Coarse Cereals,Arunachal Pradesh,Rabi,0.1,0.11,0.11,0.11,,0.17,0.19,0.19,0.19,,1715.0,1720.0,1722.0,1725.0,
Nutri/Coarse Cereals,Assam,Kharif,0.46,0.48,0.58,0.5,0.42,1.51,1.73,1.97,2.22,1.64,3277.0,3632.0,3398.0,4392.0,3916.0
Nutri/Coarse Cereals,Assam,Rabi,,,,0.62,0.65,,,,3.18,3.34,,,,5139.0,5143.0
Nutri/Coarse Cereals,Bihar,Kharif,2.04,1.82,1.88,2.23,2.03,2.35,2.43,4.52,5.93,6.23,1154.0,1336.0,2403.0,2656.0,3071.0
Nutri/Coarse Cereals,Bihar,Rabi,4.63,4.96,4.17,5.67,5.05,18.74,24.46,29.28,40.67,33.0,4045.0,4931.0,7027.0,7170.0,6535.0
Nutri/Coarse Cereals,Bihar,Summer,,,1.58,1.82,1.68,,,10.19,10.72,10.02,,,6469.0,5904.0,5962.0
Nutri/Coarse Cereals,Chandigarh,Kharif,,,,,,,,,,,3000.0,2875.0,2875.0,3000.0,
Nutri/Coarse Cereals,Chhattisgarh,Kharif,2.06,1.87,1.68,1.54,1.62,3.67,4.22,4.17,3.7,4.03,1783.0,2252.0,2483.0,2402.0,2490.0
Nutri/Coarse Cereals,Chhattisgarh,Rabi,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,694.0,818.0,922.0,1001.0,777.0
Nutri/Coarse Cereals,Dadra And Nagar Haveli,Kharif,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,,1652.0,1667.0,1605.0,1624.0,
Nutri/Coarse Cereals,Daman And Diu,Kharif,,,,,,0.01,0.01,,,,1509.0,1530.0,,,
Nutri/Coarse Cereals,Delhi,Kharif,0.04,0.04,0.04,0.04,,0.08,0.07,0.08,0.08,,1923.0,1544.0,1745.0,1744.0,
Nutri/Coarse Cereals,Delhi,Rabi,,,,,,,,,,,3000.0,4000.0,4000.0,4000.0,
Nutri/Coarse Cereals,Gujarat,Kharif,7.92,7.91,5.08,5.21,4.97,15.1,17.36,9.25,9.81,7.95,1906.0,2197.0,1820.0,1881.0,1599.0
Nutri/Coarse Cereals,Gujarat,Rabi,1.17,1.11,1.19,1.39,1.48,2.5,2.59,3.11,3.66,3.72,2136.0,2343.0,2617.0,2639.0,2513.0
Nutri/Coarse Cereals,Gujarat,Summer,,,3.25,3.3,3.26,,,9.85,9.72,9.71,,,3031.0,2945.0,2982.0
Nutri/Coarse Cereals,Haryana,Kharif,6.07,5.11,5.58,5.52,5.97,13.87,11.48,12.3,11.89,12.75,2284.0,2244.0,2205.0,2155.0,2137.0
Nutri/Coarse Cereals,Haryana,Rabi,0.09,0.03,0.13,0.12,0.12,0.31,0.11,0.46,0.46,0.46,3343.0,3237.0,3573.0,3712.0,3893.0
Nutri/Coarse Cereals,Himachal Pradesh,Kharif,2.71,2.66,2.59,2.56,2.56,7.32,7.84,6.81,6.1,7.49,2703.0,2942.0,2629.0,2383.0,2925.0
Nutri/Coarse Cereals,Himachal Pradesh,Rabi,0.2,0.18,0.17,0.17,0.18,0.32,0.31,0.27,0.3,0.29,1573.0,1733.0,1579.0,1780.0,1680.0
Nutri/Coarse Cereals,Jammu And Kashmir,Kharif,3.1,3.03,2.94,3.08,,5.17,5.87,5.58,5.98,,1666.0,1935.0,1893.0,1945.0,
Nutri/Coarse Cereals,Jammu And Kashmir,Rabi,0.04,0.07,0.07,0.07,,0.02,0.05,0.05,0.05,,576.0,654.0,662.0,662.0,
Nutri/Coarse Cereals,Jharkhand,Kharif,3.07,2.93,2.27,2.92,3.17,6.41,6.25,4.22,5.77,6.97,2091.0,2129.0,1862.0,1972.0,2201.0
Nutri/Coarse Cereals,Jharkhand,Rabi,0.12,0.12,0.31,0.1,0.12,0.28,0.29,0.5,0.21,0.27,2305.0,2373.0,1622.0,2067.0,2251.0
Nutri/Coarse Cereals,Karnataka,Kharif,26.53,24.96,25.68,27.92,27.37,65.16,59.62,60.5,60.82,66.98,2456.0,2388.0,2356.0,2178.0,2447.0
Nutri/Coarse Cereals,Karnataka,Rabi,8.56,7.34,7.88,9.37,8.09,14.15,13.13,16.12,15.79,15.63,1653.0,1788.0,2045.0,1685.0,1933.0
Nutri/Coarse Cereals,Karnataka,Summer,,,0.83,0.35,0.48,,,2.82,1.3,1.8,,,3393.0,3718.0,3743.0
